,Year,Benefits Fraud,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
0,2025.0,0.5729396209784046,48463951.166666664,30831382.742936905,29152742.638784055,1678640.1041528487,17632568.42372976,63.617222268007936,60.15363952799788,5.444386664055604,36.382777731992064,39189621.0,30194003.924823657,28528806.627446864,1665197.2973767892,8995617.075176347,77.04607661141179,72.79714494344107,5.514796808800913,22.953923388588212
1,2024.0,0.7839477368175455,48941272.25,31070297.893692598,29422714.763257753,1647583.130434843,17870974.356307406,63.484679584226626,60.11805352085134,5.303148509953107,36.51532041577338,39565342.666666664,30411856.825020954,28777420.715717245,1634436.1093037063,9153485.841645718,76.86471176307832,72.73355256848009,5.374670354582709,23.13528823692168
2,2023.0,0.7195378151260504,49397691.416666664,31440956.40744081,29611288.81487037,1829667.5925704453,17956735.009225853,63.64863631525281,59.94545657327911,5.818128821329354,36.35136368474719,39864200.5,30730110.14089049,28916810.36656044,1813299.7743300442,9134090.359109513,77.08692025337088,72.53890735938448,5.8995396489654475,22.913079746629126
3,2022.0,0.7126567844925884,49804806.416666664,31544610.021164615,29116850.892435912,2427759.1287287013,18260196.395502046,63.33694325079049,58.46263200757749,7.696415502585645,36.663056749209495,40086315.916666664,30775483.41469048,28370120.627678473,2405362.787011998,9310832.501976188,76.77342572405409,70.7731637450774,7.816153555438081,23.226574275945907
4,2021.0,0.760806916426513,50249949.75,31766087.931297157,29266239.340724543,2499848.590572608,18483861.81870285,63.216000372975735,58.24112983773614,7.869747848706389,36.783999627024265,40334901.0,30897690.53452238,28418295.686460596,2479394.84806178,9437210.465477625,76.60276212593386,70.4557192281381,8.02464973592224,23.397237874066136
5,2020.0,0.7559145989613387,50682348.96722186,31973250.899769306,29371821.733914685,2601429.165854625,18709098.067452554,63.085678711345025,57.95317081135074,8.135966998604282,36.914321288654975,40534206.350361556,31073284.679292586,28495148.648441613,2578136.0308509707,9460921.67106898,76.65940319949836,70.29909701981614,8.296626502824518,23.340596800501643
6,2019.0,0.9168564920273348,51031884.4948152,32320131.530963127,29750534.768413365,2569596.7625497603,18711752.96385208,63.33302492630986,58.29762471130753,7.950883551760088,36.666975073690146,40547373.21753209,31344549.036279667,28796833.482964944,2547715.553314721,9202824.18125244,77.30346676594021,71.02014453844018,8.128441501630435,22.696533234059796
7,2018.0,1.1666666666666667,51397746.135799825,32601074.237170305,30161741.903775368,2439332.33339494,18796671.898629513,63.428773827346866,58.6824030896907,7.483463154849503,36.571226172653134,40636590.74116863,31534689.018996943,29120239.137445908,2414449.8815510403,9101901.722171685,77.60157465988,71.65980570175873,7.657338730540649,22.398425340120003
8,2017.0,1.131090487238979,51790074.77397562,32868738.875216078,30873995.20657334,1994743.6686427395,18921335.898759533,63.465472526716546,59.61338695894215,6.069155072671909,36.534527473283454,40787593.20336023,31729385.323113978,29756951.19795382,1972434.1251601533,9058207.880246246,77.79180527890573,72.95558269470125,6.216677137774895,22.20819472109427
9,2016.0,1.0983062685524707,52180966.09118536,33140255.23949787,31375872.463287275,1764382.7762105968,19040710.851687495,63.51005506791063,60.12851566184218,5.32474351553912,36.48994493208937,40991648.12279336,31954322.6657265,30210682.492242616,1743640.1734838982,9037325.457066849,77.9530329825119,73.69915680296428,5.457365854051098,22.0469670174881
10,2015.0,0.7733491969066032,52563883.281267405,33458763.99892065,31833079.175091047,1625684.8238296008,19105119.282346755,63.65355651809623,60.56064636652534,4.858909703975546,36.346443481903776,41199411.572487414,32249276.92775032,30641337.524657037,1607939.4030932772,8950134.6447371,78.27602399289648,74.37310801918451,4.986112751211078,21.723976007103513
11,2014.0,0.7317073170731707,52850041.316406064,33640377.619538784,32174312.020579327,1466065.5989594518,19209663.696867276,63.652473506300794,60.87837797977978,4.358200042323161,36.3475264936992,41328849.28557816,32451649.866270494,31004841.870748293,1446807.9955222048,8877199.419307662,78.52050882548757,75.01972416014029,4.458525655579571,21.47949117451243
12,2013.0,0.7202881152460985,53131056.71688044,33932666.57381092,32553416.902768616,1379249.6710423024,19198390.143069524,63.865838254315385,61.26983044336814,4.064849343594298,36.13416174568461,41449465.843807764,32686642.636153053,31325553.074493866,1361089.561659189,8762823.207654715,78.85892536596977,75.57514906419757,4.16418923793803,21.141074634030232
13,2012.0,0.7537688442211056,53416806.0,34268160.40100766,32949552.420593757,1318607.9804139046,19148645.598992344,64.1522585288469,61.68374523923757,3.8478247412469124,35.84774147115311,41564731.166666664,32937104.05318336,31640290.130675435,1296813.9225079224,8627627.113483308,79.24283785942585,76.12285448988816,3.9372209073078603,20.75716214057416
14,2011.0,0.7822685788787483,53614933.166666664,34108417.31707554,32510507.5446585,1597909.7724170436,19506515.849591125,63.617639915228885,60.63766426786909,4.685434926023306,36.382360084771115,41634727.166666664,32776859.12348987,31207480.133649554,1569378.98984032,8857868.043176794,78.72493399066833,74.95578939537853,4.788727902002429,21.275066009331656
15,2010.0,0.7432432432432432,53942371.0,34090904.619420595,32574058.71948995,1516845.899930642,19851466.38057941,63.198843460681054,60.38642052497547,4.449967767202371,36.801156539318946,41799782.416666664,32763369.04176418,31278954.420671668,1484414.621092511,9036413.374902487,78.38173393106368,74.8300545700261,4.531172299966905,21.61826606893632
16,2009.0,0.7369196757553427,54456067.25,34302837.33349196,33000161.338806216,1302675.9946857376,20153229.916508045,62.99165453419872,60.59962712148829,3.797210835492692,37.00834546580126,42128157.833333336,32911959.82156119,31636837.880762994,1275121.9407981893,9216198.01177215,78.12330872944084,75.09669362337495,3.87398501662769,21.876691270559174
17,2008.0,0.6354249404289118,55099177.666666664,34764647.62774631,33346721.497043878,1417926.1307024332,20334530.038920354,63.09553246560758,60.522101047529105,4.078638550166782,36.90446753439241,42568269.5,33307454.707586676,31915329.660545025,1392125.0470416548,9260814.792413322,78.2455522376606,74.97520762889401,4.179603622276655,21.7544477623394
18,2007.0,0.667779632721202,55741373.833333336,35185218.12106917,33667090.50796297,1518127.6131061958,20556155.712264165,63.121565185035585,60.39811543447336,4.314542008853121,36.87843481496442,42981494.083333336,33618388.185495205,32139718.002434045,1478670.183061171,9363105.897838127,78.2153424410005,74.77517579565232,4.398236724987503,21.784657558999502
19,2006.0,0.5159071367153912,56302320.54545455,35935636.084511645,34188172.48551448,1747463.5989971699,20366684.460942905,63.82580177515963,60.72248653003941,4.861630962378704,36.17419822484035,43312606.18181818,34216642.940442465,32520140.090103112,1696502.850339341,9095963.241375724,78.99896055720104,75.08245037292521,4.9571784974401645,21.001039442798962
